titulo,autor,precio,disponibilidad,link,categoria
BLOCK IMANTADO 10X20 PRECISO COSAS,VARIOS AUTORES,"UYU 250,75",Disponible,/p/block-imantado-10x20-preciso-cosas/179654/283026,Arte
BLOCK IMANTADO 10X10 COLORBLOCK,VARIOS AUTORES,"UYU 250,75",Disponible,/p/block-imantado-10x10-colorblock/179653/283025,Arte
EL CAMINO DEL ARTISTA,JULIA CAMERON,"UYU 1.181,50",Disponible,/p/el-camino-del-artista/160123/111268,Arte
TECNICAS DE DIBUJO CON PLUMA Y TINTA,DAVID MORALES,UYU 935,Disponible,/p/tecnicas-de-dibujo-con-pluma-y-tinta/178740/282438,Arte
PINTURA DE PAISAJES,MITCHELL ALBALA,UYU 1.105,Disponible,/p/pintura-de-paisajes/173843/277710,Arte
APRENDE A DIBUJAR TIERNOS GATITOS,VERA KAY,UYU 935,Disponible,/p/aprende-a-dibujar-tiernos-gatitos/178728/282426,Arte
COMO DIBUJAR - HOW TO DRAW PICASSO,SERGIO GUINOT,"UYU 671,50",Disponible,/p/como-dibujar-how-to-draw-picasso/178730/282428,Arte
LEONARDO DA VINCI,RICHARD WOLFRIK GALLAND,UYU 1.020,Disponible,/p/leonardo-da-vinci/178734/282432,Arte
DIBUJAR SERES FANTÁSTICOS ANIME,NAOMI LORD,UYU 935,Disponible,/p/dibujar-seres-fantasticos-anime/178752/282448,Arte
DIBUJAR EN 10 PASOS FLORES,MARY WOODIN,"UYU 671,50",Disponible,/p/dibujar-en-10-pasos-flores/178731/282429,Arte
PARÍS PARA COLOREAR,VARIOS AUTORES,UYU 1.445,Disponible,/p/paris-para-colorear/178975/282675,Arte
INTERIORES PARA COLOREAR,VARIOS AUTORES,UYU 1.445,Disponible,/p/interiores-para-colorear/178971/282671,Arte
EL CUERPO FEMENINO EN EL ARTE,AMY DEMPSEY,UYU 1.785,Disponible,/p/el-cuerpo-femenino-en-el-arte/178967/282667,Arte
EL CORAZÓN: FRIDA KAHLO EN PARIS,MARC PETITJEAN,"UYU 841,50",Disponible,/p/el-corazon-frida-kahlo-en-paris/149676/259224,Arte
RAKUGAKI,"YORIFUJI, BUNPEI","UYU 1.011,50",Disponible,/p/rakugaki/130500/134776,Arte
1000 AÑOS DE ALEGRÍAS Y PENAS,AI WEIWEI,"UYU 926,50",Disponible,/p/1000-anos-de-alegrias-y-penas/126057/128076,Arte
PINTORES URUGUAYOS: PETRONA VIERA,EMMA SANGUINETTI,"UYU 501,50",Disponible,/p/pintores-uruguayos-petrona-viera/141121/250152,Arte
PINTORES URUGUAYOS: JOAQUÍN TORRES GARCÍA,EMMA SANGUINETTI,"UYU 501,50",Disponible,/p/pintores-uruguayos-joaquin-torres-garcia/141122/250153,Arte
PINTORES URUGUAYOS: J. M. BLANES,EMMA SANGUINETTI,"UYU 501,50",Disponible,/p/pintores-uruguayos-j-m-blanes/141119/250150,Arte
PINTORES URUGUAYOS: FIGARI,EMMA SANGUINETTI,"UYU 501,50",Disponible,/p/pintores-uruguayos-figari/141120/250151,Arte
PINTORES URUGUAYOS: BARRADAS,EMMA SANGUINETTI,"UYU 501,50",Disponible,/p/pintores-uruguayos-barradas/141118/250149,Arte
"ARTE PARECE, PLÁTANO ES",LAURA REVUELTA,"UYU 1.011,50",Disponible,/p/arte-parece-platano-es/175662/279532,Arte
AFTER BALLET,ROSINA  GIL,"UYU 722,50",Disponible,/p/after-ballet/154823/264725,Arte
VIVIR EL CAMINO DEL ARTISTA,JULIA CAMERON,"UYU 1.181,50",Disponible,/p/vivir-el-camino-del-artista/163058/271636,Arte
EL ARTE DE ESCUCHAR,JULIA CAMERON,"UYU 1.181,50",Disponible,/p/el-arte-de-escuchar/179363/134766,Arte
FREE PLAY,NACHMANOVITCH STEPHEN,"UYU 501,50",Disponible,/p/free-play/178812/282502,Arte
ARAKI,NOBUYOSHI ARAKI,UYU 1.870,Disponible,/p/araki/112195/116323,Arte
"PALETA PERFECTA, VOL.2","WAGER, LAUREN",UYU 1.683,Disponible,/p/paleta-perfecta-vol-2/146649/256036,Arte
"SABIDURIA DE BANKSY, LA + CARTAS",GIULIA MANZI,UYU 1.683,Disponible,/p/sabiduria-de-banksy-la-cartas/177406/281232,Arte
LA OBRA DE ARTE EN LA ÉPOCA DE SU REPRODUCTIBILIDAD TÉCNICA,WALTER BENJAMIN,"UYU 586,50",Disponible,/p/la-obra-de-arte-en-la-epoca-de-su-reproductibilidad-tecnica/142692/251797,Arte
DIBUJAR LOS ANIMALES,CHARLENE  LETENNEUR,"UYU 586,50",Disponible,/p/dibujar-los-animales/178131/281898,Arte
DICCIONARIO ILUSTRADO DE LA MUERTE,"SABATIER, ROBERT",UYU 1.445,Disponible,/p/diccionario-ilustrado-de-la-muerte/131621/136665,Arte
CON QUE DIBUJAR,TILO SCHNEIDER,UYU 1.360,Disponible,/p/con-que-dibujar/178128/281895,Arte
DIBUJAR LA NATURALEZA,VIKTORIJA SEMJONOVA,UYU 1.190,Disponible,/p/dibujar-la-naturaleza/178129/281896,Arte
DIBUJAR LA SOMBRA Y LA LUZ,ENRIQUE  ETIEVAN,"UYU 586,50",Disponible,/p/dibujar-la-sombra-y-la-luz/178130/281897,Arte
