titulo,autor,disponibilidad,link,categoria,moneda,precio_numero
BLOCK IMANTADO 10X20 PRECISO COSAS,VARIOS AUTORES,Disponible,/p/block-imantado-10x20-preciso-cosas/179654/283026,Arte,UYU,250.75
BLOCK IMANTADO 10X10 COLORBLOCK,VARIOS AUTORES,Disponible,/p/block-imantado-10x10-colorblock/179653/283025,Arte,UYU,250.75
EL CAMINO DEL ARTISTA,JULIA CAMERON,Disponible,/p/el-camino-del-artista/160123/111268,Arte,UYU,1181.5
TECNICAS DE DIBUJO CON PLUMA Y TINTA,DAVID MORALES,Disponible,/p/tecnicas-de-dibujo-con-pluma-y-tinta/178740/282438,Arte,UYU,935.0
PINTURA DE PAISAJES,MITCHELL ALBALA,Disponible,/p/pintura-de-paisajes/173843/277710,Arte,UYU,1105.0
APRENDE A DIBUJAR TIERNOS GATITOS,VERA KAY,Disponible,/p/aprende-a-dibujar-tiernos-gatitos/178728/282426,Arte,UYU,935.0
COMO DIBUJAR - HOW TO DRAW PICASSO,SERGIO GUINOT,Disponible,/p/como-dibujar-how-to-draw-picasso/178730/282428,Arte,UYU,671.5
LEONARDO DA VINCI,RICHARD WOLFRIK GALLAND,Disponible,/p/leonardo-da-vinci/178734/282432,Arte,UYU,1020.0
DIBUJAR SERES FANTÁSTICOS ANIME,NAOMI LORD,Disponible,/p/dibujar-seres-fantasticos-anime/178752/282448,Arte,UYU,935.0
DIBUJAR EN 10 PASOS FLORES,MARY WOODIN,Disponible,/p/dibujar-en-10-pasos-flores/178731/282429,Arte,UYU,671.5
PARÍS PARA COLOREAR,VARIOS AUTORES,Disponible,/p/paris-para-colorear/178975/282675,Arte,UYU,1445.0
INTERIORES PARA COLOREAR,VARIOS AUTORES,Disponible,/p/interiores-para-colorear/178971/282671,Arte,UYU,1445.0
EL CUERPO FEMENINO EN EL ARTE,AMY DEMPSEY,Disponible,/p/el-cuerpo-femenino-en-el-arte/178967/282667,Arte,UYU,1785.0
EL CORAZÓN: FRIDA KAHLO EN PARIS,MARC PETITJEAN,Disponible,/p/el-corazon-frida-kahlo-en-paris/149676/259224,Arte,UYU,841.5
RAKUGAKI,"YORIFUJI, BUNPEI",Disponible,/p/rakugaki/130500/134776,Arte,UYU,1011.5
1000 AÑOS DE ALEGRÍAS Y PENAS,AI WEIWEI,Disponible,/p/1000-anos-de-alegrias-y-penas/126057/128076,Arte,UYU,926.5
PINTORES URUGUAYOS: PETRONA VIERA,EMMA SANGUINETTI,Disponible,/p/pintores-uruguayos-petrona-viera/141121/250152,Arte,UYU,501.5
PINTORES URUGUAYOS: JOAQUÍN TORRES GARCÍA,EMMA SANGUINETTI,Disponible,/p/pintores-uruguayos-joaquin-torres-garcia/141122/250153,Arte,UYU,501.5
PINTORES URUGUAYOS: J. M. BLANES,EMMA SANGUINETTI,Disponible,/p/pintores-uruguayos-j-m-blanes/141119/250150,Arte,UYU,501.5
PINTORES URUGUAYOS: FIGARI,EMMA SANGUINETTI,Disponible,/p/pintores-uruguayos-figari/141120/250151,Arte,UYU,501.5
